City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Isiolo,KE,80.26,clear sky,0.3546,37.5822,Gaddisa Hotel
508,Tiarei,PF,80.6,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
525,Waingapu,ID,86.4,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
526,Ballitoville,ZA,80.01,clear sky,-29.539,31.2144,Hotel Fairmont Zimbali Resort
537,Tabuk,PH,80.71,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
545,Bandarbeyla,SO,81.1,clear sky,9.4942,50.8122,JABIR HOTEL
547,Mucurapo,TT,75.2,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
551,Dhamtari,IN,87.8,haze,20.7072,81.5497,shimon inn
552,Montes Altos,BR,75.2,broken clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
554,Sikonge,TZ,75.2,few clouds,-5.6333,32.7667,Daukilo Lodge
558,Sola,VU,78.8,light rain,-13.8833,167.55,Leumerus Bungalows
562,Tagusao,PH,84.85,clear sky,9.1924,117.8141,Toledo
563,Corozal,CO,75.11,scattered clouds,9.3151,-75.2928,Hotel Perla De La Sabana
567,Geraldton,AU,78.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
568,Sagar,IN,89.89,clear sky,23.8333,78.7167,Hotel Devyog
571,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
578,Morant Bay,JM,78.8,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
580,Kudahuvadhoo,MV,82.04,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
584,Koupela,BF,76.95,clear sky,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
588,San Policarpo,PH,81.93,broken clouds,12.1791,125.5072,JM Lodge
589,Buenos Aires,AR,77.0,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
597,Kishi,NG,75.0,overcast clouds,9.0833,3.85,AMARC GUEST HOUSE
601,Metro,ID,87.78,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
604,Tezu,IN,87.69,few clouds,27.9167,96.1667,Circuit House
605,Xai-Xai,MZ,78.46,scattered clouds,-25.0519,33.6442,Complexo da Familia
609,Talara,PE,75.15,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
610,Bacolod,PH,85.91,overcast clouds,10.6667,122.95,Planta Hotel & Residences
616,Vao,NC,78.53,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
619,Bara,NG,79.92,overcast clouds,10.3744,10.7288,
620,Nizwa,OM,87.39,clear sky,22.9333,57.5333,Orient Apartments
626,Moree,AU,87.8,clear sky,-29.4667,149.85,Molika Springs Motel
628,Minab,IR,84.2,few clouds,27.1467,57.0801,Bam campground
634,Quelimane,MZ,75.2,light rain,-17.8786,36.8883,Hotel Flamingo
636,Boyolangu,ID,86.43,broken clouds,-8.1181,111.8935,Yos ega cv
639,Buchanan,LR,78.8,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
641,Kalianget,ID,85.59,broken clouds,-7.05,113.9333,Pesanggrahan Garam
651,Thinadhoo,MV,82.56,clear sky,0.5333,72.9333,
652,Sao Jose Da Coroa Grande,BR,76.77,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
654,Ibra,OM,88.41,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
